year,month,sido,houseCnt,usage,dong,ds,prophet_pred,xgb_pred
2014,1,대전광역시,91300.0,242.0,대덕구,2014-01-01,233.47241236479292,242.41599
2014,2,대전광역시,91398.0,242.75,대덕구,2014-02-01,235.24670066036967,242.58508
2014,3,대전광역시,91492.0,211.38,대덕구,2014-03-01,204.62104390824177,212.77618
2014,4,대전광역시,91526.0,220.26,대덕구,2014-04-01,210.72821577323614,220.84135
2014,5,대전광역시,91509.0,203.83,대덕구,2014-05-01,193.46924749194466,204.40158
2014,6,대전광역시,91495.0,206.7,대덕구,2014-06-01,195.75308997495569,206.70476
2014,7,대전광역시,91459.0,207.52,대덕구,2014-07-01,212.05596786835684,214.20143
2014,8,대전광역시,91418.0,235.09,대덕구,2014-08-01,274.1964538759582,235.71136
2014,9,대전광역시,91475.0,215.4,대덕구,2014-09-01,252.14097687706882,215.27963
2014,10,대전광역시,91461.0,200.77,대덕구,2014-10-01,198.47309486827854,200.82657
2014,11,대전광역시,91505.0,213.65,대덕구,2014-11-01,200.41951794284628,211.97769
2014,12,대전광역시,91609.0,223.09,대덕구,2014-12-01,210.26145187784513,223.19275
2015,1,대전광역시,91572.0,242.91,대덕구,2015-01-01,231.93695759323907,242.53328
2015,2,대전광역시,91573.0,239.24,대덕구,2015-02-01,232.3777971112472,239.51715
2015,3,대전광역시,91589.0,209.92,대덕구,2015-03-01,202.35737056870204,210.40498
2015,4,대전광역시,91626.0,218.71,대덕구,2015-04-01,209.72445914891713,218.7807
2015,5,대전광역시,91673.0,202.13,대덕구,2015-05-01,193.45083539948553,201.13356
2015,6,대전광역시,91710.0,202.13,대덕구,2015-06-01,196.1738805363253,202.05666
2015,7,대전광역시,91759.0,203.51,대덕구,2015-07-01,211.52785838339153,204.16786
2015,8,대전광역시,91816.0,249.83,대덕구,2015-08-01,274.31325701864597,249.46266
2015,9,대전광역시,91866.0,225.24,대덕구,2015-09-01,244.93905007092292,224.98471
2015,10,대전광역시,91952.0,193.87,대덕구,2015-10-01,197.5721935101935,193.58151
2015,11,대전광역시,92013.0,206.61,대덕구,2015-11-01,202.05103323485864,206.99916
2015,12,대전광역시,92128.0,218.08,대덕구,2015-12-01,212.13587651048172,218.11761
2016,1,대전광역시,92096.0,234.87,대덕구,2016-01-01,230.30030725245575,234.53568
2016,2,대전광역시,92261.0,237.92,대덕구,2016-02-01,229.4620872068828,237.79344
2016,3,대전광역시,92265.0,214.2,대덕구,2016-03-01,204.94726909103906,213.03441
2016,4,대전광역시,92395.0,212.59,대덕구,2016-04-01,208.55774854094207,213.02364
2016,5,대전광역시,92415.0,195.03,대덕구,2016-05-01,189.29288255978398,196.08612
2016,6,대전광역시,92415.0,196.54,대덕구,2016-06-01,190.57745938097958,196.44128
2016,7,대전광역시,92349.0,206.09,대덕구,2016-07-01,208.66635462251816,208.14723
2016,8,대전광역시,92333.0,267.96,대덕구,2016-08-01,269.24246135926535,236.73036
2016,9,대전광역시,92361.0,251.45,대덕구,2016-09-01,262.12935095495214,250.79463
2016,10,대전광역시,92325.0,194.21,대덕구,2016-10-01,196.38761424096847,194.11185
2016,11,대전광역시,92362.0,204.24,대덕구,2016-11-01,193.05523033594852,204.05038
2016,12,대전광역시,92450.0,212.96,대덕구,2016-12-01,202.02595487572103,212.99258
2017,1,대전광역시,92506.0,227.94,대덕구,2017-01-01,230.57018306227585,228.41855
2017,2,대전광역시,92656.0,231.83,대덕구,2017-02-01,233.72940717621148,231.99792
2017,3,대전광역시,92622.0,200.79,대덕구,2017-03-01,202.59404708212392,200.71411
