동이름,경도,위도,TM_X,TM_Y
중앙동,127.4311,36.3289194444444,238895.6249004516,314322.7948086672
효동,127.443863888888,36.3140805555555,239499.12514,312966.045686
신인동,127.437938,36.323425,239512.37280328778,313715.86111754255
판암동,127.459852777777,36.3144027777777,241608.861396,312657.683569
용운동,127.4636,36.3251583333333,241342.433415,314764.411733
대동,127.447866666666,36.3254166666666,237327.256702,321529.741292
자양동,127.451241666666,36.3324611111111,240327.809804,315345.346261
가양동,127.443577777777,36.3440888888888,240274.143052,316315.666612
용전동,127.434411111111,36.3551055555555,238932.05418,317111.825029
성남동,127.4374361,36.3445416,238865.245593,315957.105473
홍도동,127.425455555555,36.3440361111111,238147.939932,316339.472056
삼성동,127.4221987,36.3405954,238091.7631,315484.331535
대청동,127.494730555555,36.3406472222222,244602.29113221366,315651.62245851336
산내동,127.469975,36.278625,242413.36638901458,308758.1047017195
은행선화동,127.4204,36.3248444444444,237936.85285019275,313866.36216716305
목동,127.414622222222,36.33145,230937.785447,324435.667629
중촌동,127.412426,36.33890382,236644.061589,315761.700804
대흥동,127.428030555555,36.3173972222222,238086.0572,313632.573308
문창동,127.440055555555,36.3132722222222,239060.151541,313104.928098
석교동,127.444533333333,36.3067277777777,239313.53102,311770.613956
대사동,127.426975,36.3147138888888,237830.749532,312267.115733
부사동,127.435822222222,36.3112722222222,238686.973523,312389.684821
용두동,127.412475,36.3225694444444,236475.078698,314408.79312
오류동,127.405922222222,36.3226,236313.708627,313898.673519
태평동,127.395,36.318325,235241.339728,313836.13424
유천동,127.401330555555,36.3124833333333,235525.26776,312991.770043
문화동,127.408641666666,36.3124277777777,236671.538071,312148.760581
산성동,127.388219444444,36.3024361111111,234968.090132,311804.586681
복수동,127.375977777777,36.3038333333333,233759.27321,311353.493031
도마동,127.383186111111,36.3130638888888,233382.204701,313233.11256
정림동,127.368863888888,36.3015472222222,232702.454017,311562.274634
변동,127.388888888888,36.3229166666666,233721.062929,314156.22577
용문동,127.396388888888,36.3336944444444,235491.249963,315288.89095
탄방동,127.397263888888,36.3436694444444,235084.282223,316093.559702
괴정동,127.384141666666,36.3342583333333,234042.082499,315386.503829
가장동,127.387352777777,36.32715,234697.935355,314580.302613
내동,127.379508333333,36.3292583333333,238090.924544,319912.092482
갈마동,127.369975,36.3497444444444,233096.979918,316349.897632
월평동,127.369,36.3573611111111,232401.996771,316655.278912
가수원동,127.351411111111,36.3006166666666,231475.128773,311461.58981
도안동,127.346732378171,36.3236179406995,231193.755895,313683.541211
관저동,127.3394,36.3009111111111,229837.419558,310455.73542
기성동,127.343763888888,36.2529305555555,231083.86537460523,305859.1015098555
둔산동,127.387941666666,36.3495194444444,234640.487848,317347.979649
만년동,127.377130555555,36.3646277777777,234284.060759,318631.93831
진잠동,127.318599999999,36.29685,228806.132166672,310724.8771147975
학하동,127.30872977332,36.3411396869139,228112.785555,314954.123041
상대동,127.334691269024,36.346794528901,229939.309844,315805.202303
온천동,127.341111111111,36.3502555555555,230807.22287322016,316658.0188611819
노은동,127.320555555555,36.3653305555555,228558.597028,318628.177614
신성동,127.349533333333,36.38625,231353.603491,320414.368328
전민동,127.402530555555,36.3970277777777,235702.343206,322506.274579
구즉동,127.385922222222,36.4374694444444,234790.85199236928,326351.1418889335
관평동,127.3887774,36.42316994,234860.425546,324792.748886
원신흥동,127.343296,36.342146,230985.806315,315240.200235
오정동,127.411975,36.3508333333333,237096.066179,317082.766906
대화동,127.413463888888,36.36345,236485.343303,318757.191101
회덕동,127.4236,36.3733333333333,238200.53765843777,319248.29512668913
비래동,127.452022222222,36.3520138888888,240768.903085,318045.585461
송촌동,127.442033333333,36.3627222222222,239665.489961,318283.44886
중리동,127.428552777777,36.3577222222222,238239.466906,317945.576909
신탄진동,127.431208333333,36.4487888888888,238985.438941,327548.818132
석봉동,127.427875,36.4451944444444,237811.907237,327848.219318
덕암동,127.429075,36.4373444444444,237656.161069,326702.840887
목상동,127.414330555555,36.445575,237026.229002,327376.177636
법동,127.428897222222,36.3679055555555,239065.909712,319348.225966
