위도,경도,방향,주소,아파트명(동)
36.342582,127.39299,남서향,대전 서구 탄방동 1485,e편한세상 둔산 102동
36.342726,127.393867,남동향,대전 서구 탄방동 1485,e편한세상 둔산 104동
36.348765,127.394223,남향,대전 서구 탄방동 835,공작한양아파트 7동
36.347824,127.394213,남향,대전 서구 탄방동 835,공작한양아파트 9동
36.351037,127.390951,동향,대전 서구 둔산동 1510,목련아파트 105동
36.34828,127.394207,남향,대전 서구 탄방동 835,공작한양아파트 8동
36.348753,127.393194,남향,대전 서구 탄방동 835,공작한양아파트 1동
36.349712,127.393094,남향,대전 서구 둔산동 1510,목련아파트 302동
36.347041,127.392986,남향,대전 서구 탄방동 835,공작한양아파트 5동
36.347427,127.393233,남향,대전 서구 탄방동 835,공작한양아파트 4동
36.34703,127.393469,남향,대전 서구 탄방동 835,공작한양아파트 6동
36.349274,127.392103,동향,대전 서구 둔산동 1510,목련아파트 201동
36.34827,127.393195,남향,대전 서구 탄방동 835,공작한양아파트 2동
36.350113,127.393216,동향,대전 서구 둔산동 1510,목련아파트 303동
36.348127,127.394791,동향,대전 서구 탄방동 835,공작한양아파트 12동
36.347808,127.393193,남향,대전 서구 탄방동 835,공작한양아파트 3동
36.349297,127.393259,남향,대전 서구 둔산동 1510,목련아파트 301동
36.349277,127.390777,남향,대전 서구 둔산동 1510,목련아파트 101동
36.34743,127.394204,남향,대전 서구 탄방동 835,공작한양아파트 10동
36.348615,127.394818,동향,대전 서구 탄방동 835,공작한양아파트 11동
36.347683,127.394803,동향,대전 서구 탄방동 835,공작한양아파트 13동
36.453214, 127.424168,남향,대전 대덕구 석봉동 496-4, 등마루아파트
36.358408,127.367176,동향,대전 서구 월평동 312-1,진달래아파트 104동
36.360141,127.375054,남향,대전 서구 월평동 266-1,샛별아파트 101동
36.359136,127.367892,동향,대전 서구 월평동 312-1,진달래아파트 102동
36.358192,127.373501,동향,대전 서구 월평동 301,누리아파트 113동
36.359632,127.37356,동향,대전 서구 월평동 301,누리아파트 116동
36.359106,127.374966,남향,대전 서구 월평동 300,무지개아파트 102동
36.360615,127.376055,남향,대전 서구 월평동 266-1,샛별아파트 104동
36.358388,127.367921,동향,대전 서구 월평동 312-1,진달래아파트 101동
36.359143,127.373498,동향,대전 서구 월평동 301,누리아파트 115동
36.359172,127.369107,동향,대전 서구 월평동 301,누리아파트 102동
36.35904,127.375989,남향,대전 서구 월평동 300,무지개아파트 106동
36.35961,127.372296,동향,대전 서구 월평동 301,누리아파트 109동
36.360614,127.375039,남향,대전 서구 월평동 266-1,샛별아파트 103동
36.358636,127.374958,남향,대전 서구 월평동 300,무지개아파트 103동
36.359119,127.370399,동향,대전 서구 월평동 301,누리아파트 107동
36.359141,127.365768,동향,대전 서구 월평동 312-1,진달래아파트 111동
36.358897,127.367209,동향,대전 서구 월평동 312-1,진달래아파트 105동
36.358646,127.370586,동향,대전 서구 월평동 301,누리아파트 106동
36.35869,127.369199,동향,대전 서구 월평동 301,누리아파트 103동
36.35865,127.36577,동향,대전 서구 월평동 312-1,진달래아파트 110동
36.358167,127.375983,남향,대전 서구 월평동 300,무지개아파트 105동
36.35963,127.364751,동향,대전 서구 월평동 312,전원아파트 101동
36.359607,127.370404,동향,대전 서구 월평동 301,누리아파트 108동
36.359419,127.367208,동향,대전 서구 월평동 312-1,진달래아파트 106동
36.35865,127.366468,동향,대전 서구 월평동 312-1,진달래아파트 107동
36.358195,127.369473,동향,대전 서구 월평동 301,누리아파트 104동
36.358192,127.370671,동향,대전 서구 월평동 301,누리아파트 105동
36.35914,127.366521,동향,대전 서구 월평동 312-1,진달래아파트 108동
36.359576,127.374999,남향,대전 서구 월평동 300,무지개아파트 101동
36.360136,127.37591,남향,대전 서구 월평동 266-1,샛별아파트 102동
36.359624,127.366517,동향,대전 서구 월평동 312-1,진달래아파트 109동
36.358698,127.36495,동향,대전 서구 월평동 312,전원아파트 103동
36.358166,127.374959,남향,대전 서구 월평동 300,무지개아파트 104동
36.359119,127.372202,동향,대전 서구 월평동 301,누리아파트 110동
36.359632,127.367909,동향,대전 서구 월평동 312-1,진달래아파트 103동
36.359626,127.365774,동향,대전 서구 월평동 312-1,진달래아파트 112동
36.359572,127.375997,남향,대전 서구 월평동 300,무지개아파트 107동
36.358639,127.372339,동향,대전 서구 월평동 301,누리아파트 111동
36.358676,127.373564,동향,대전 서구 월평동 301,누리아파트 114동
36.359637,127.369204,동향,대전 서구 월평동 301,누리아파트 101동
36.359167,127.364794,동향,대전 서구 월평동 312,전원아파트 102동
36.358189,127.371978,동향,대전 서구 월평동 301,누리아파트 112동
36.418844,127.441933,남동향,대전 대덕구 장동 212,무궁화아파트 101동
36.419132,127.441847,남동향,대전 대덕구 장동 212,무궁화아파트 102동
36.374835,127.393168,동향,대전 유성구 도룡동 4-27,연구개발특구진흥재단
36.330353,127.454426,남서향,대전 동구 용운동 147,주공아파트 205동
36.330687,127.454717,남서향,대전 동구 용운동 147,주공아파트 206동
36.330023,127.454092,남서향,대전 동구 용운동 147,주공아파트 204동
36.329253,127.453796,남동향,대전 동구 용운동 147,주공아파트 203동
36.328946,127.453203,남동향,대전 동구 용운동 147,주공아파트 202동
36.328456,127.453354,남동향,대전 동구 용운동 147,주공아파트 201동
36.330816,127.456018,남향,대전 동구 용운동 703,한화꿈에그린아파트 101동
36.331303,127.45612,남향,대전 동구 용운동 703,한화꿈에그린아파트 102동
36.330841,127.456736,남동향,대전 동구 용운동 703,한화꿈에그린아파트 107동
36.360208,127.365698,남향,대전 서구 월평동 311-1,하나로아파트 103동
36.360211,127.366463,남향,대전 서구 월평동 311-1,하나로아파트 101동
