구분,행정구역코드,1단계,2단계,3단계,격자 X,격자 Y,경도(시),경도(분),경도(초),위도(시),위도(분),위도(초),경도(초/100),위도(초/100),TM_X,TM_Y
kor,3011051500,대전광역시,동구,중앙동,68,100,127,25,51.96,36,19,44.11,127.4311,36.3289194444444,238895.6249004516,314322.7948086672
kor,3011053000,대전광역시,동구,효동,68,100,127,26,37.91,36,18,50.69,127.443863888888,36.3140805555555,239499.12514,312966.045686
kor,3011054500,대전광역시,동구,신인동,68,100,127,26,16.58,36,19,24.33,127.437938,36.323425,239512.37280328778,313715.86111754255
kor,3011055100,대전광역시,동구,판암동,69,100,127,27,35.47,36,18,51.85,127.459852777777,36.3144027777777,241608.861396,312657.683569
kor,3011056000,대전광역시,동구,용운동,69,100,127,27,48.96,36,19,30.57,127.4636,36.3251583333333,241342.433415,314764.411733
kor,3011058500,대전광역시,동구,대동,68,100,127,26,52.32,36,19,31.5,127.447866666666,36.3254166666666,237327.256702,321529.741292
kor,3011059000,대전광역시,동구,자양동,68,100,127,27,4.47,36,19,56.86,127.451241666666,36.3324611111111,240327.809804,315345.346261
kor,3011062000,대전광역시,동구,가양동,68,100,127,26,36.88,36,20,38.72,127.443577777777,36.3440888888888,240274.143052,316315.666612
kor,3011064000,대전광역시,동구,용전동,68,101,127,26,3.88,36,21,18.38,127.434411111111,36.3551055555555,238932.05418,317111.825029
kor,3011066500,대전광역시,동구,성남동,68,100,127,26,14.77,36,20,40.35,127.4374361,36.3445416,238865.245593,315957.105473
kor,3011067000,대전광역시,동구,홍도동,68,100,127,25,31.64,36,20,38.53,127.425455555555,36.3440361111111,238147.939932,316339.472056
kor,3011069500,대전광역시,동구,삼성동,68,100,127,25,19.92,36,20,26.14,127.4221987,36.3405954,238091.7631,315484.331535
kor,3011072500,대전광역시,동구,대청동,69,100,127,29,41.03,36,20,26.33,127.494730555555,36.3406472222222,244602.29113221366,315651.62245851336
kor,3011074000,대전광역시,동구,산내동,69,99,127,28,11.91,36,16,43.05,127.469975,36.278625,242413.36638901458,308758.1047017195
kor,3014053500,대전광역시,중구,은행선화동,68,100,127,25,13.44,36,19,29.44,127.4204,36.3248444444444,237936.85285019275,313866.36216716305
kor,3014055000,대전광역시,중구,목동,68,100,127,24,52.64,36,19,53.22,127.414622222222,36.33145,230937.785447,324435.667629
kor,3014056000,대전광역시,중구,중촌동,68,100,127,24,44.73,36,20,20.05,127.412426,36.33890382,236644.061589,315761.700804
kor,3014057500,대전광역시,중구,대흥동,68,100,127,25,40.91,36,19,2.63,127.428030555555,36.3173972222222,238086.0572,313632.573308
kor,3014060500,대전광역시,중구,문창동,68,100,127,26,24.2,36,18,47.78,127.440055555555,36.3132722222222,239060.151541,313104.928098
kor,3014062000,대전광역시,중구,석교동,68,99,127,26,40.32,36,18,24.22,127.444533333333,36.3067277777777,239313.53102,311770.613956
kor,3014063000,대전광역시,중구,대사동,68,100,127,25,37.11,36,18,52.97,127.426975,36.3147138888888,237830.749532,312267.115733
kor,3014064000,대전광역시,중구,부사동,68,100,127,26,8.96,36,18,40.58,127.435822222222,36.3112722222222,238686.973523,312389.684821
kor,3014065500,대전광역시,중구,용두동,68,100,127,24,44.91,36,19,21.25,127.412475,36.3225694444444,236475.078698,314408.79312
