동이름,격자X,격자Y
중앙동,68,100
효동,68,100
신인동,68,100
판암동,69,100
용운동,69,100
대동,68,100
자양동,68,100
가양동,68,100
용전동,68,101
성남동,68,100
홍도동,68,100
삼성동,68,100
대청동,69,100
산내동,69,99
은행선화동,68,100
목동,68,100
중촌동,68,100
대흥동,68,100
문창동,68,100
석교동,68,99
대사동,68,100
부사동,68,100
용두동,68,100
오류동,68,100
태평동,67,100
유천동,68,100
문화동,68,100
산성동,67,99
복수동,67,99
도마동,67,100
정림동,67,99
변동,67,100
용문동,67,100
탄방동,67,100
괴정동,67,100
가장동,67,100
내동,67,100
갈마동,67,100
월평동,67,101
가수원동,67,99
도안동,67,100
관저동,66,99
기성동,67,98
둔산동,67,100
만년동,67,101
진잠동,66,99
학하동,66,100
상대동,66,100
온천동,66,100
노은동,66,101
신성동,67,101
전민동,68,101
구즉동,67,102
관평동,68,101
원신흥동,67,100
오정동,68,100
대화동,68,101
회덕동,68,101
비래동,68,100
송촌동,68,101
중리동,68,101
신탄진동,68,103
석봉동,68,102
덕암동,68,102
목상동,68,102
법동,68,101
와동,68,102
평촌동,68,102
계산동,66,100
봉산동,67,103
장대동,66,101
반석동,66,101
가오동,69,99
지족동,66,101
어은동,67,101
연축동,68,101
신대동,68,102
신흥동,68,100
덕명동,66,100
도룡동,67,101
읍내동,68,101
대정동,66,100
대성동,69,99
둔곡동,67,103
천동,68,100
사정동,68,99
선화동,68,100
가정동,67,101
송강동,67,102
교촌동,66,99
봉명동,67,100
상서동,68,102
하기동,66,101
인동,68,100
용산동,67,102
궁동,67,101
죽동,66,101
문지동,68,101
원내동,66,99
구암동,66,101
낭월동,69,99
신일동,68,102
용계동,66,100
